VideoID,Video Title,Video Link,Transcript ID,Police Report ID
video_01,Boston Police Recover Firearm from Man in Wheelchair After Traffic Stop in South Boston,https://www.youtube.com/watch?v=KJUUwBXhfXA,transcript_01,narrative_01
video_02,Boston Police Officers Recover Firearm After Tackling Fleeing Suspect on Moped near Franklin Park,https://www.youtube.com/watch?v=KJUUwBXhfXA,transcript_02,narrative_02
video_03,South End Police Officers Arrest Armed Robbery Suspect with a Knife in Boston,https://www.youtube.com/watch?v=KJUUwBXhfXA,transcript_03,narrative_03
video_04,Boston Police Arrest Suspect For Armed Robbery Near Haymarket,https://www.youtube.com/watch?v=KJUUwBXhfXA,transcript_04,narrative_04
video_05,Boston Police Arrest Homeless Man on Drug Trafficking Charges on Boston's Meth Mile,https://www.youtube.com/watch?v=KJUUwBXhfXA,transcript_05,narrative_05
video_06,Boston Police Traffic Stop In Roslindale Leads To Illegal Firearm Arrest,https://www.youtube.com/watch?v=KJUUwBXhfXA,transcript_06,narrative_06
video_07,Boston Police Anti-Crime Unit Tackles Fleeing Moped Driver in Boston's Back Bay,https://www.youtube.com/watch?v=KJUUwBXhfXA,transcript_07,narrative_07
video_08,Boston Police Arrest Man Following Random Attack with a Knife at Boston Bar,https://www.youtube.com/watch?v=KJUUwBXhfXA,transcript_08,narrative_08
video_09,Boston Police Arrest Man on Firearm Charges After Dispute with Tow Truck Driver,https://www.youtube.com/watch?v=KJUUwBXhfXA,transcript_09,narrative_09
video_10,Boston Police Gang Unit Foot Chase Ends in Firearm Recovery and Arrest in Dorchester,https://www.youtube.com/watch?v=KJUUwBXhfXA,transcript_10,narrative_10
video_11,Boston Police Anti-Crime Unit Casually Arrests Former Most Wanted Person in Roxbury,https://www.youtube.com/watch?v=KJUUwBXhfXA,transcript_11,narrative_11
video_12,Hit And Run Investigation In Roxbury Leads To Firearm Arrest by Boston Police,https://www.youtube.com/watch?v=KJUUwBXhfXA,transcript_12,narrative_12
